"Name","IconSWF","IconExportName","GameMode","WinsIconExportName","Enabled","EventOnly","JoinCost","JoinCostResource","FreePass","MaxWins","MaxLoss","RewardCards","RewardGold","RewardSpellCount","RewardSpell","RewardSpellMaxCount","ItemExportName","ConfirmExportName","TID","CardTheme"
"string","String","String","String","String","boolean","boolean","int","string","int","int","int","int","int","int","String","int","String","String","string","String"
"Gold","sc/ui.sc","icon_tournament_gold","Challenge","tournament_open_wins_badge_gold","TRUE",,100,"Diamonds",,12,3,20,1400,,,,"tournament_item_open","popup_tournament_open_confirm","TID_PUBLIC_TOURNAMENT_GOLD",
,,,,,,,,,,,,30,1900,,,,,,,
,,,,,,,,,,,,50,2500,,,,,,,
,,,,,,,,,,,,85,3200,,,,,,,
,,,,,,,,,,,,130,4000,,,,,,,
,,,,,,,,,,,,185,5000,,,,,,,
,,,,,,,,,,,,250,6200,,,,,,,
,,,,,,,,,,,,330,7600,,,,,,,
,,,,,,,,,,,,420,9300,,,,,,,
,,,,,,,,,,,,530,11500,,,,,,,
,,,,,,,,,,,,670,14200,,,,,,,
,,,,,,,,,,,,860,17500,,,,,,,
,,,,,,,,,,,,1100,22000,,,,,,,
"Bronze","sc/ui.sc","icon_tournament_bronze","Challenge","tournament_open_wins_badge_bronze","TRUE",,10,"Diamonds",,12,3,2,130,,,,"tournament_item_open","popup_tournament_open_confirm","TID_PUBLIC_TOURNAMENT_BRONZE",
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"KingsCup","sc/ui.sc","icon_tournament_blind_deck","BlindDeck","tournament_open_wins_badge_blind","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_open","popup_tournament_blind_challenge_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"DoubleElixir","sc/ui.sc","icon_tournament_2x_elixir","DoubleElixir","tournament_open_wins_badge_bronze","FALSE","TRUE",50,"Diamonds",,12,3,10,700,,,,"tournament_item_open","popup_tournament_2x_elixir_challenge_confirm",,
,,,,,,,,,,,,15,950,,,,,,,
,,,,,,,,,,,,25,1250,,,,,,,
,,,,,,,,,,,,42,1600,,,,,,,
,,,,,,,,,,,,65,2000,,,,,,,
,,,,,,,,,,,,92,2500,,,,,,,
,,,,,,,,,,,,125,3100,,,,,,,
,,,,,,,,,,,,165,3800,,,,,,,
,,,,,,,,,,,,210,4500,,,,,,,
,,,,,,,,,,,,265,5600,,,,,,,
,,,,,,,,,,,,335,6900,,,,,,,
,,,,,,,,,,,,430,8500,,,,,,,
,,,,,,,,,,,,550,11000,,,,,,,
"BlindDeck","sc/ui.sc","icon_tournament_blind_deck","BlindDeck","tournament_open_wins_badge_blind","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_open","popup_tournament_blind_challenge_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"DraftMode","sc/ui.sc","icon_tournament_draft","DraftMode","tournament_open_wins_badge_draft","FALSE","TRUE",50,"Diamonds",,12,3,10,700,,,,"tournament_item_open","popup_tournament_open_confirm",,
,,,,,,,,,,,,15,950,,,,,,,
,,,,,,,,,,,,25,1250,,,,,,,
,,,,,,,,,,,,42,1600,,,,,,,
,,,,,,,,,,,,65,2000,,,,,,,
,,,,,,,,,,,,92,2500,,,,,,,
,,,,,,,,,,,,125,3100,,,,,,,
,,,,,,,,,,,,165,3800,,,,,,,
,,,,,,,,,,,,210,4500,,,,,,,
,,,,,,,,,,,,265,5600,,,,,,,
,,,,,,,,,,,,335,6900,,,,,,,
,,,,,,,,,,,,430,8500,,,,,,,
,,,,,,,,,,,,550,11000,,,,,,,
"DraftModeInsane","sc/ui.sc","icon_tournament_draft","DraftModeInsane","tournament_open_wins_badge_draft","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_open","popup_tournament_open_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"Team","sc/ui.sc","icon_tournament_draft","TeamVsTeam","tournament_open_wins_badge_draft","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_open","popup_tournament_open_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"RetroRoyale","sc/ui.sc","icon_tournament_gold","RetroRoyale","tournament_open_wins_badge_gold","FALSE","TRUE",0,"Diamonds",1,12,3,20,1400,,,,"tournament_item_open","popup_tournament_open_confirm",,
,,,,,,,,,,,,30,1900,,,,,,,
,,,,,,,,,,,,50,2500,,,,,,,
,,,,,,,,,,,,85,3200,,,,,,,
,,,,,,,,,,,,130,4000,,,,,,,
,,,,,,,,,,,,185,5000,,,,,,,
,,,,,,,,,,,,250,6200,,,,,,,
,,,,,,,,,,,,330,7600,,,,,,,
,,,,,,,,,,,,420,9300,,,,,,,
,,,,,,,,,,,,530,11500,,,,,,,
,,,,,,,,,,,,670,14200,,,,,,,
,,,,,,,,,,,,860,17500,,,,,,,
,,,,,,,,,,,,1100,22000,,,,,,,
"TeamVsEnemy","sc/ui.sc","icon_tournament_draft","TvE","tournament_open_wins_badge_draft","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_open","popup_tournament_open_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
