"Name","Rating"
"String","Int"
0,1200
1,1208
2,1216
3,1224
4,1232
5,1240
6,1248
7,1256
8,1264
9,1272
10,1280
11,1288
12,1296
13,1304
14,1312
15,1320
16,1328
17,1336
18,1344
19,1352
20,1360
21,1368
22,1376
23,1384
24,1392
25,1400
26,1408
27,1416
28,1424
29,1432
30,1440
31,1448
32,1456
33,1464
34,1472
35,1480
36,1488
37,1496
38,1504
39,1512
40,1520
41,1528
42,1536
43,1544
44,1552
45,1560
46,1568
47,1576
48,1584
49,1592
50,1600
51,1608
52,1616
53,1624
54,1632
55,1640
56,1648
57,1656
58,1664
59,1672
60,1680
61,1688
62,1696
63,1704
64,1712
65,1720
66,1728
67,1736
68,1744
69,1752
70,1760
71,1768
72,1776
73,1784
74,1792
75,1800
76,1808
77,1816
78,1824
79,1832
80,1840
81,1848
82,1856
83,1864
84,1872
85,1880
86,1888
87,1896
88,1904
89,1912
90,1920
91,1928
92,1936
93,1944
94,1952
95,1960
96,1968
97,1976
98,1984
99,1992
100,2000
