"Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16
,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16
,0,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,,,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,,,,,1,1,1,1,2,2,2,2,,,,,2,2,2,2,2,,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,32,32,32,32,32,1,1,1,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,2,2,2,32,32,32,32,32
,32,32,32,32,32,,1,1,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,2,2,,32,32,32,32,32
,32,32,32,32,32,,1,257,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,258,2,,32,32,32,32,32
,32,32,32,32,32,1,1,1,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,2,2,2,32,32,32,32,32
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,0,,,,,1,1,1,1,,,128,,,,,,,,,,,,128,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,128,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,128,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,128,,,,,,,,,,,,128,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,,1,1,1,1,1,,,,,1,1,1,1,2,2,2,2,,,,,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,,,128,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,128,,,,,,
,0,,,,,,,,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,
,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16
,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16
"Layout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PrincessTowerClanBoatDefender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KingTowerClanBoatDefender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KingTowerClanBoatAttacker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
