"Name","Size","Title","Info","ItemFile","ItemExportName","Count","GameType","PlayerType","Spell","Rarity","Type","MinElixir","MaxElixir","Weight","MinArena","MaxArena"
"String","Int","String","String","String","String","Int","String","String","String","String","String","Int","Int","int","String","String"
"Cast_Quest_Common_2",1,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",80,"Ladder","1v1",,"Common",,,,15,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Rare_2",1,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",80,"Ladder","1v1",,"Rare",,,,15,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Epic_2",1,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",40,"Ladder","1v1",,"Epic",,,,15,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Legendary_2",1,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",40,"Ladder","1v1",,"Legendary",,,,15,"Arena7",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Spell_2",1,"TID_CAST_QUEST_SPELL","TID_CAST_QUEST_SPELL_INFO","sc/ui.sc","quest_item_pvp",75,"Ladder","1v1",,,"Spell",,,15,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Troop_2",1,"TID_CAST_QUEST_TROOP","TID_CAST_QUEST_TROOP_INFO","sc/ui.sc","quest_item_pvp",125,"Ladder","1v1",,,"Character",,,15,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Building_2",1,"TID_CAST_QUEST_BUILDING","TID_CAST_QUEST_BUILDING_INFO","sc/ui.sc","quest_item_pvp",30,"Ladder","1v1",,,"Building",,,15,"Arena6",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Common",0,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",50,"Ladder","1v1",,"Common",,,,100,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Rare",0,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",50,"Ladder","1v1",,"Rare",,,,100,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Epic",0,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1",,"Epic",,,,100,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Legendary",0,"TID_CAST_QUEST_RARITY","TID_CAST_QUEST_RARITY_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1",,"Legendary",,,,100,"Arena7",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Spell",0,"TID_CAST_QUEST_SPELL","TID_CAST_QUEST_SPELL_INFO","sc/ui.sc","quest_item_pvp",50,"Ladder","1v1",,,"Spell",,,100,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Troop",0,"TID_CAST_QUEST_TROOP","TID_CAST_QUEST_TROOP_INFO","sc/ui.sc","quest_item_pvp",80,"Ladder","1v1",,,"Character",,,100,,
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Building",0,"TID_CAST_QUEST_BUILDING","TID_CAST_QUEST_BUILDING_INFO","sc/ui.sc","quest_item_pvp",20,"Ladder","1v1",,,"Building",,,100,"Arena6",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_LowCost_2",1,"TID_CAST_QUEST_MAX_ELIXIR","TID_CAST_QUEST_MAX_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",60,"Ladder","1v1",,,,1,2,15,"Arena3",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_ThreeCost_2",1,"TID_CAST_QUEST_FOUR_ELIXIR","TID_CAST_QUEST_FOUR_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",40,"Ladder","1v1",,,,3,3,15,"Arena3",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_FourCost_2",1,"TID_CAST_QUEST_FOUR_ELIXIR","TID_CAST_QUEST_FOUR_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",40,"Ladder","1v1",,,,4,4,15,"Arena4",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_FiveCost_2",1,"TID_CAST_QUEST_FOUR_ELIXIR","TID_CAST_QUEST_FOUR_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",35,"Ladder","1v1",,,,5,5,15,"Arena3",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_HighCost_2",1,"TID_CAST_QUEST_MIN_ELIXIR","TID_CAST_QUEST_MIN_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1",,,,6,,15,"Arena5",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_LowCost",0,"TID_CAST_QUEST_MAX_ELIXIR","TID_CAST_QUEST_MAX_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",40,"Ladder","1v1",,,,1,2,100,"Arena3",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_FourCost",0,"TID_CAST_QUEST_FOUR_ELIXIR","TID_CAST_QUEST_FOUR_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",30,"Ladder","1v1",,,,4,4,100,"Arena4",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_HighCost",0,"TID_CAST_QUEST_MIN_ELIXIR","TID_CAST_QUEST_MIN_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",20,"Ladder","1v1",,,,6,,100,"Arena5",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_ThreeCost",0,"TID_CAST_QUEST_FOUR_ELIXIR","TID_CAST_QUEST_FOUR_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",30,"Ladder","1v1",,,,3,3,15,"Arena3",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_FiveCost",0,"TID_CAST_QUEST_FOUR_ELIXIR","TID_CAST_QUEST_FOUR_ELIXIR_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1",,,,5,5,15,"Arena4",
,,,,,,,"Survival","2v2",,,,,,,,
,,,,,,,"ClanWar",,,,,,,,,
"Cast_Quest_Specific_02",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1","Skeletons",,,,,0,,
"Cast_Quest_Specific_03",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1","IceSpirits",,,,,0,,
"Cast_Quest_Specific_04",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1","Zap",,,,,0,,
"Cast_Quest_Specific_05",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",15,"Ladder","1v1","Rage",,,,,0,,
"Cast_Quest_Specific_06",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1","Log",,,,,0,,
"Cast_Quest_Specific_07",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1","Goblins",,,,,0,,
"Cast_Quest_Specific_08",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1","SpearGoblins",,,,,0,,
"Cast_Quest_Specific_09",1,"TID_CAST_QUEST_SINGLE","TID_CAST_QUEST_SINGLE_INFO","sc/ui.sc","quest_item_pvp",25,"Ladder","1v1","FireSpirits",,,,,0,,
