"Name","Size","Title","Info","Count","Rarity","Type","Weight","MinArena","MaxArena"
"String","Int","String","String","Int","String","String","int","String","String"
"Donate_Any1",0,"TID_DONATE_QUEST_ANY","TID_DONATE_QUEST_ANY_INFO",4,,"Donate",100,,"Arena3"
"Donate_Any2",0,"TID_DONATE_QUEST_ANY","TID_DONATE_QUEST_ANY_INFO",20,,"Donate",100,"Arena4","Arena6"
"Donate_Any3",0,"TID_DONATE_QUEST_ANY","TID_DONATE_QUEST_ANY_INFO",30,,"Donate",100,"Arena7","Arena9"
"Donate_Any4",0,"TID_DONATE_QUEST_ANY","TID_DONATE_QUEST_ANY_INFO",40,,"Donate",100,"Arena_L",
"Donate_Rare",0,"TID_DONATE_QUEST_RARITY","TID_DONATE_QUEST_RARITY_INFO",4,"Rare","Donate",100,"Arena4",
"Request_Any",0,"TID_REQUEST_QUEST_ANY","TID_REQUEST_QUEST_ANY_INFO",3,,"Request",50,,
"Donate_Common",0,"TID_DONATE_QUEST_RARITY","TID_DONATE_QUEST_RARITY_INFO",75,"Common","Donate",50,"Arena4",
"Donate_Rare_2",1,"TID_DONATE_QUEST_RARITY","TID_DONATE_QUEST_RARITY_INFO",10,"Rare","Donate",25,"Arena8",
"Request_Epic",1,"TID_REQUEST_QUEST_ANY","TID_REQUEST_QUEST_INFO",1,"Epic","Request",5,"Arena8",
"Donate_Common_2",1,"TID_DONATE_QUEST_RARITY","TID_DONATE_QUEST_RARITY_INFO",120,"Common","Donate",10,"Arena8",
