"Name","EmoteInPack"
"String","int"
"emotes_barbarian_01_dl.sc",4
"emotes_black_friday_01_dl.sc",4
"emotes_black_friday_02_dl.sc",4
"emotes_clashnights_01_dl.sc",2
"emotes_crl_01_dl.sc",4
"emotes_ewiz_01_dl.sc",4
"emotes_giant_01_dl.sc",4
"emotes_goblin_01_dl.sc",4
"emotes_goblin_02_dl.sc",4
"emotes_goblin_03_dl.sc",4
"emotes_goblin_04_dl.sc",4
"emotes_hidden_01_dl.sc",4
"emotes_hogrider_01_dl.sc",4
"emotes_hog_01_dl.sc",4
"emotes_hog_02_dl.sc",4
"emotes_king_01_dl.sc",4
"emotes_minipekka_01_dl.sc",4
"emotes_minipekka_02_dl.sc",4
"emotes_princess_01_dl.sc",4
"emotes_princess_02_dl.sc",4
"emotes_prince_01_dl.sc",4
"emotes_royal_ghost_01_dl.sc",4
"emotes_skeleton_01_dl.sc",4
"emotes_wizard_01_dl.sc",4
"emotes_xmas_01_dl.sc",2
"emotes_king_02_dl.sc",1
"emotes_miner_01_dl.sc",4
